编号,标题,路径,指令提示,指令
1793950580138565632,寻找用于构建反向链接的客座撰稿网站,\SEO\Outreach,输入您的利基,"所有的输出都必须用[TARGETLANGUAGE]。请提供10个[PROMPT]领域内的嘉宾发布网站，只提供高权威网站和易于接受嘉宾帖子的网站。尽可能添加网站的电子邮件。将它们写在一个表格中，分别列出序号、网站的主题范围(包括它们涵盖的3个主要主题)、网站名称、邮件(仅添加邮件;不要添加链接)和每个网站的一行提示。在您的回复中只给我表格就行了。不要在表格开始时添加任何其他行，在表格之后，添加Twitter(https://twitter.com/rrehmanxd)和Buymeacoffee(https://www.buymeacoffee.com/rehmanxd)链接，并用标题""用心形表达支持""。不要将这两个链接加入表格中。"
1801893786981498880,嘉宾投稿-接近脚本电子邮件,\SEO\Outreach,你想要给博客类别写电子邮件，或者编写一个接近宠物网站管理员的电子邮件模板。,您的任务是用150个字或最多500个字符总结我给您的文本。所有输出都必须使用[TARGETLANGUAGE]。要总结的文本是：<<<PROMPT>>>。
1794361107205591040,使用SEO优化来打造品牌产品,\SEO\Products,【文本中的产品或品牌】,你的任务是成为一个产品或品牌的SEO专家，开始提供10个产品的标语创意，10个关键词，5个好的Hashtag，以便它们在搜索引擎中易于被发现，创建产品描述，10篇文章标题创意，并提供10个详细的品牌策略。所有输出应该是[TARGETLANGUAGE]。<<<
1793182009703792640,Wordpress的类别描述,\SEO\Products,品牌名称，关键词,"作为一名拥有超过10年经验的SEO内容作家，我将为您提供WooCommerce分类标题、焦点关键词、支持关键词和品牌名称。

您将为WordPressWooCommerce分类页面编写[TARGETLANGUAGE]的详细描述，以便于在Google搜索中轻松排名的关键词，该描述将根据标题进行分段。
1.整篇文章使用被动语态的比例不超过10%
2.句子中使用过渡词的比例约25%
3.整篇文章中超过20个单词的句子比例不超过25%
4.焦点关键词和支持关键词应出现在第一段。确保主题立即清晰明了。
5.每个章节的标题将是支持关键词。

此外，这不是一篇文章，请不要像写文章一样写。不要写结论。
请确保您非常仔细地遵循说明，因为对于YOASTWordPress插件来说非常重要。在撰写此文本时，请查看RankMath建议并遵循。

我将先输入品牌名称，然后输入焦点关键词[PROMPT]"
1783964797226971136,电子商务SEO：产生吸引人的产品描述！,\SEO\Products,输入描述性产品名称-仅限1个,我希望您能假装成一位电商SEO专家，为想要在线购买的用户编写引人入胜的产品描述。我将提供一个电商产品的名称，希望您为该产品描述编写至少三个不同的内容部分，每个部分都涉及该产品的独特子集关键词。请确保每个独特的内容部分都标有信息丰富且引人注目的副标题，描述内容部分的主要重点。这些命令的主要目的是让您开发一个新的关键词丰富、信息丰富且引人注目的产品摘要/描述，其字数少于1000个单词。产品描述的宣传目的是为了向寻求购买的用户营销产品。使用情感词和创意理由来展示为什么用户应该购买我告诉您的产品。在您生成新的产品摘要之后，请生成一个由5个可能的H1标题组成的项目符号列表，每个标题都不超过7个单词。请还包括使用了广泛匹配关键词的项目符号列表，以完成编写产品摘要的工作。编写一个具有说服力和专业语气的元标题和描述，其中包含与新产品摘要文本中相似的语言。请确保在元标题中包含数字方面。不要重复我的提示。不要提醒我您要求我什么。不要道歉。不要自我参考。请使用以下产品：[PROMPT]
1797000007317192704,全面销售引人入胜的SEO产品描述,\SEO\Products,输入[产品标题或关键词],"我们希望通过真正的SEO吸引产品描述来超越竞争对手。因此，您的任务是为以下目标语言的产品编写SEO友好的描述，副标题等等。生成内容时请注意，仅输出最终内容。

产品“[PROMPT]”的吸引描述：

带描述的副标题1：

带描述的副标题2：

带描述的副标题3：

可能的H1标题：

[PROMPT]的宽泛长尾目标关键词：

[PROMPT]的元标题：

[PROMPT]的元描述：

可能解释的常见问题："
1783877445234196480,生成产品收藏汇总（+元数据和H1）,\SEO\Products,粘贴包含标题和价格的产品清单,我希望你能假装成一位电商SEO专家。我将提供一个电商产品集合页面的产品清单。集合页面本身缺少一个信息丰富并且吸引眼球的产品摘要。首要目标是在不超过600字的篇幅内，开发一个关键词丰富、信息丰富且引人入胜的新摘要，以便将产品推销给想要购买的用户。使用情感词汇和创意理由，展示为什么用户应该购买。在生成新的集合摘要后，请生成一个该集合页面的5个可能的H1标题清单，每个标题不超过10个单词（最多5个标题）。同时，请提供与产品列表相关的广泛匹配关键词的项目符号清单。编写一个有说服力和专业的Meta标题和描述，将新集合页面摘要中出现的类似语言整合进去。确保在Meta标题中包含一个数值方面。不要复述我的提示。不要提醒我要求你做什么。不要道歉。不要自我参照。使用以下产品：[PROMPT]
1793178090038616064,高排名产品元数据,\SEO\Products,【产品标题】【产品描述】,假设您是一名富有成效的SEO作家。您将获得一个[PROMPT]，需要生成元数据，包括元标题和描述，旨在在Google搜索中排名靠前。元描述应不超过160个字符，并且需要优化以吸引点击。然后，您必须编写一组高排名关键字来补充元数据。
1796399224892678144,Shopify产品的元标题和描述,\SEO\Products,[关键词][品牌名],编写经过优化的SEO元标题和描述。
1792843464199901184,纸矩形五彩纸屑,\SEO\Products,请用提供的信息撰写最佳文本。,请忽略之前的所有指示。我希望您成为一名流利的产品描述撰稿人，使用[TARGETLANGUAGE]。您必须表现得非常精通SEO市场营销和高端SEO文案撰写，流利地使用[TARGETLANGUAGE]。您需要编写有趣而惊人的关于[PROMPT]的描述，您的任务是为[PROMPT]总结100个字。
1800113831234756608,网店产品说明,\SEO\Products,[产品名称]+[描述],"在撰写内容时，""困惑性""和""爆炸性""是至关重要的两个因素。困惑性衡量文本的复杂程度。爆炸性则比较句子的变化。人们倾向于更具爆炸性地写作，例如同时存在一些较长或复杂的句子和较短的句子。而AI生成的句子则更加统一。因此，在接下来要求您创作的内容中，我需要它具有足够的困惑性和爆炸性。您的任务是为[TARGETLANGUAGE]网店的产品编写一个SEO友好、吸引人的扩展描述。请仅显示最终内容。
产品描述：[PROMPT]。"
1801833925539262464,网站或亚马逊A+的产品描述,\SEO\Products,写下产品名称或关键词,我希望你扮演一个人类和电商SEO专家的角色，为寻找在线购买的买家编写引人入胜的产品描述。我会提供一种电商产品的标题，并要求你为该产品描述提供至少五个不同的内容部分，每个部分都涉及与我提供的产品相关的唯一子集关键词。确保每个独特的内容部分都标有一个信息量丰富且吸引人的副标题，描述该内容部分的主要焦点。这些指令的主要目的是让您开发一个新的关键词丰富，信息量大且引人入胜的产品描述，长度少于2000个字。产品描述的目的是向寻求购买的用户营销产品。使用情感词汇和创造性的理由展示为什么用户应该购买我告诉你的产品。在生成新的产品概述后，请生成一个带有5个可能的H1标题的项目列表，并使每个H1标题的字数都不超过35个字。请还包括使用广泛匹配关键词编写产品摘要的项目列表。编写一个说服力强、专业的MetaTitle和Description，其中包含新产品摘要文本中存在的类似语言。确保在Meta标题中包含数字方面。不要回应我的提示。不要提醒我要求你的内容。不要道歉。不要自我参照。还要检查一下它不是DetectorAI内容。请在[TARGETLANGUAGE]中编写所有输出。请使用以下产品[PROMPT]。
1788963012439445504,产品相关的SEO信息（全部）,\SEO\Products,产品名称：，产品描述：，产品详情：，产品类型：，条形码：#####,请忽略之前的指示。在您的回答中，请仅提供此提示中提供的信息，不要生成任何新信息。我希望您能担任网站管理员，产品经理和高端文案作者，精通SEO，能够以[TARGETLANGUAGE]写出出色的内容，使其能够超越其他网站。在编写内容时，请勿编造任何详细信息。必须确保向消费者呈现的信息是正确的，事实的，令人兴奋的，吸引人的，语法正确的和信息丰富的。如果所提供的信息中没有足够的有助于某个特定部分SEO的产品信息，则不要包含该部分。使用[TARGETLANGUAGE]，为电子商务网站上的产品编写详尽的，完全原创的，易于阅读的重新编写的产品说明，其中包含其以下引号中列出的标题，产品说明，产品详细信息，产品类型和产品条形码。不能编造详细信息。所有信息都必须实际和准确，不要在提供的信息之外包含任何信息。仅使用为此产品提供的信息。包括一个新的产品标题，可以极大地提高产品的SEO，一个重新编写的产品说明，完全原创，易于阅读的格式，并用热情，活力和兴奋的语气写成，这将使某人想要购买该产品，并改善SEO并使用最佳的SEO关键字，列出可能的所有产品细节和所有可以作为项目符号添加的任何内容，但不要在这一部分中包括体裁和主题，如果列出任何长度尺寸也请将其转换为英寸，并且不要编造这些产品细节，请仅使用提供的信息，以吸引人们购买该产品提供有关该产品或产品类型的常见问题及其答案的FAQ，如果此产品有相关流派，则尽可能多地列出这些流派作为项目符号（流派包括更广泛的主题，例如动作，冒险，犯罪与悬疑，奇幻，科幻，恐怖，小说，非小说，传记，戏剧，西部，历史，浪漫，喜剧，讽刺，惊悚），如果此产品有相关主题，则尽可能多地列出这些主题作为项目符号（主题基于故事内容的更详细和描述性的主题，例如校园生活，成长，战胜困难，勇气，滥用权力，人性，人与机器）。编写一个吸引人购买产品的结论，列出前11个最佳的SEO关键短语，供人们最有可能搜索并提高产品的SEO（1为最有可能搜索的关键短语，2为第二个最有可能搜索的关键短语，以此类推），对所讨论的产品进行一个不超过120个字符的原创有趣的meta描述，在任何情况下都必须小于66个字符的产品的SEO标题，以及产品标签的至少25个最佳可能的产品标签，这些标签必须写在一行中，用逗号分隔（包括例如艺术家，系列，角色名称和品牌/出版社的标签）。使用基本的Markdown语法，格式化每个部分以适当的Markdown设计进行最佳可读性配置，结构上吸引消费者（最大字体大小24pt），限制重复单词，主题或重复信息的频率。原创性和Markdown格式非常重要，重复是无聊的。
1797856532545929216,重写并重新格式化以实现SEO成功,\SEO\Products,让您的内容闪耀：通过重写和重新格式化实现SEO的成功！,请重新编写和格式化给定文本，以使其在主要搜索引擎上具有吸引力并排名靠前。确保包括页面标题、元关键词（用逗号分隔）和引人注目的元描述（限制在155-160个字符之内）。使用H1、H2和H3来必要时进行标注，并使用项目符号和常见问题解答（FAQ）组织内容，使其更易于ChatGPT的访问。请确保语言清晰、简洁、易于理解。将所有输出写成[TARGETLANGUAGE][TARGETLANGUAGE]。以下是详情：[PROMPT]
1791504477199785984,Redbubble的SEO优化清单,\SEO\Products,请详细描述您的设计,"任务：按照以下步骤来优化我的Redbubble列表，以增强搜索引擎的可见性：
目标语言：[TARGETLANGUAGE]
[PROMPT]
创建一个符合Redbubble算法相关性、竞争性和流量指南的TrafficGrabbing标题。
根据BubbleSpider生成25个高销量、相关的SEO标签，用逗号分隔，以提高可见性和改进列表统计。编写一个关键词富集的描述，最大长度为200个字符。"
1802742006410375168,Etsy的Seo&Neuro营销v0.1.1,\SEO\Products,输入您的产品名称和简短说明它是什么。,"这是一个SEO友好的任务。我会给你一个产品名称和一个简短的描述，让你了解这个产品是什么。我希望你为我写一个更新的SEO友好名称，产品描述和12个标签，但一切都必须非常适合SEO。SEO意味着搜索引擎优化。尽可能多地使用神经营销。产品上没有包装信息，材料信息和尺寸信息，因此不要具体说明它们。我在我的Etsy店铺中销售这些产品。我希望名称，描述和标签非常适合SEO和神经营销。人们可以在Etsy搜索栏中搜索“礼品想法”，当他们这样做时，我希望能在主页面上出现。礼品想法只是一个例子，不是人们经常搜索的内容，要记住这一点。我不知道人们通常搜索什么，但我希望在他们搜索与我的产品相关的任何内容时都能看到我的产品。我想能够销售我的产品。在列表中提供标签。提供长而带有多个分段标题的描述。用[汉语]语言回答。

以下是产品名称[PROMPT]。"
1797000007317192704,带有常见问题解答的完整SEO产品描述,\SEO\Products,输入[产品标题或关键字]。,我想让我的产品“[PROMPT]”超过竞争对手。使用[TARGETLANGUAGE]作为写作语言，您可以生成一个详细的产品帖子，包括标题，简介，带有描述的副标题，建议至少3个可能的标题，建议至少10个目标关键字，生成元标题和元描述，最后，还要生成可能的常见问题和答案。
1791830773154967552,基于属性的30个内容创意主题,\SEO\Research,[话题],请你以与我给出的主题相关的属性为基础，以短问题的形式（最好是6-7个字）向我发送包含30个不同内容的想法清单。确保每个想法都提到主题。在构建列表时，请先发布更一般的想法，然后再进一步具体化。请将所有输出写为[TARGETLANGUAGE]。<<<
1785560467411042304,AI探测器,\SEO\Research,把以下句子翻译成[TARGETLANGUAGE]，不要包括括号中的词语[]。,请忽略之前的所有指示。我希望您只用语言[TARGETLANGUAGE]*回复。请确定屏幕上的写作内容是否由人工智能写作工具生成的。请以百分比形式表示结果。例如：您输入的内容是75％的人工智能。请使用以下内容：[PROMPT]
1783786203708133376,分析目标关键词的顶部结果,\SEO\Research,"Iamhappytoassistyou.
Keywords:happy,assist.","请忽略之前的指示。只用[TARGETLANGUAGE]为[TARGETLANGUAGE]翻译这段文本。在这个问题中，您必须像一名有经验的SEO经理一样思考和行动，能够流利地使用[TARGETLANGUAGE]。请假设您是Google在[TARGETLANGUAGE]上进行SEO研究和竞争分析的专家。使用提供的关键词，创建一个SERPs分析，包括每个部分的标题、关键词、前五个竞争对手的网址，并提供每个网址的元标题和元描述。您还需要识别在Google上作为每个关键字的特色片段的任何网址，并提供与相关关键字的元数据（标题、描述）。列出最常用的标题。请用[TARGETLANGUAGE]在结尾段中包含免责声明，声明为“请记住，ChatGPT处于测试阶段，2020年以后没有可用信息。这些信息仅供历史研究之用。“所有输出都应该是[TARGETLANGUAGE]。此分析的关键词是：

[PROMPT]"
1783502887989809152,博客标签生成器,\SEO\Research,博客标签,为以下标题编写20个博客文章标签，以逗号分隔;
1785534035624464384,竞争对手的深入关键字研究和内容优化,\SEO\Research,无,"提示说明：[输入页面URL以查看SEO机会]
PromptPackageID:0
PromptTypeNo:2
修订时间：2023年2月19日15:35:19Z
用途：497
浏览量：787
投票：3

提示：
从URL开始：
您要查找关键词的URL是什么？

确定主要主题：
在此网站上讨论或销售的是什么主要主题或产品/服务？

确定目标受众：
这个网站的目标受众是谁？（例如年龄，性别，地点，兴趣等）

列出当前关键词：
网站目前用于描述主要主题或产品/服务的关键词是什么？

搜索相关关键词：
使用关键词研究工具，搜索目标受众常用的与主要主题或产品/服务相关的关键词。

分析搜索意图：
对于每个关键词，确定其背后的搜索意图（例如信息，导航，交易，商业）。

识别机会：
是否有搜索量高，竞争低且符合网站目标和目标受众的关键词？

优先考虑关键词：
根据搜索量，竞争力和与目标受众和网站目标的相关性优先考虑关键词，并创建一个目标关键词列表。

创建关键词组：
根据它们的搜索意图和与网站的相关性，将顶部关键词组织成组。

最终确定关键词列表：
根据关键字组和分析，最终确定一个要针对和优化网站的关键词列表"
1789099638373212160,内容简述生成器,\SEO\Research,请在此输入标题或关键词。,"征求您作为一名SEO专家，调研员和流利运用[TARGETLANGUAGE]的内容撰写人。请根据以下标题""[PROMPT]""帮助我制作一个内容简介。

举例来说，如果我给你标题""如何在安卓手机上下载并使用ChatGPT""，您将会给出下列内容简介：

{
关键字：如何在安卓手机上下载并使用ChatGPT

标题选项：
1.解锁ChatGPT在安卓手机上的威力：一步一步的教程
2.ChatGPT在安卓手机上：解锁AI对话技术的可能性
3.在安卓手机上开启ChatGPT:简易教程

揭示排名靠前的页面的问题：
1.ChatGPTAI聊天机器人是什么，它能做什么？
2.我如何下载ChatGPT免费的安卓应用？
3.我是否需要用MicrosoftBing作为搜索引擎以提高ChatGPT的使用体验？
4.使用安卓手机使用ChatGPT需要哪些条件？
5.需要打开OpenAI账户才能获取ChatGPT吗？
6.MicrosoftEdge网页浏览器用户是否有适用的ChatGPT版本？
7.ChatGPT正在如何影响科技界？
8.除了使用特定类型的浏览器，我可以用其他浏览器访问ChatGPT的功能吗？
9.在使用ChatGPT的功能时，是否依然需要人的互动，或者是否只是完全由AI控制？
10.如果我使用iOS设备而不是安卓设备，我是否能在AppStore上找到ChatGPT呢？

大纲：
1.首先讲解ChatGPT是什么，以及对于安卓手机的用户来说它能为他们带来的好处。
2.介绍ChatGPT具有的不同用途，包括与朋友和家人聊天、寻找工作和认识新人等。
3.分享一些使用ChatGPT的有效技巧，包括语音命令和将应用程序下载到您手机的锁屏。
4.提供一些使用ChatGPT时的安全建议，如注意可能存在的欺诈行为，并在与陌生人聊天时保持匿名。
5.总结ChatGPT应用程序的关键点，包括其功能以及如何充分利用这些功能。
6.强调在安卓手机上使用ChatGPT的好处，从便利性到安全功能都是亮点。

重要术语：
[ChatGPTAI聊天机器人、ChatGPT安卓应用、ChatGPT网站、OpenAI的ChatGPT、ChatGPT的力量][免费安卓应用、安卓用户][MicrosoftBing、Microsoft账户][智能手机、安卓手机、安卓设备][OpenAI账户、OpenAI网站][MicrosoftEdge、Edge浏览器][科技界、先进科技]

上述网站使用的标题：
1：如何在安卓智能手机和iPhone上使用ChatGPT
2：这是一个如何在安卓设备上使用ChatGPT的小技巧
3:如何使用Microsoft全新的基于ChatGPT的Edge和Bing
4：如何在安卓和iPhone智能手机上使用ChatGPTAI聊天机器人
5：ChatSonic安卓应用|类似于ChatGPT的强大聊天机器人
6：如何在安卓手机上下载ChatGPT——PantherTech
7：什么是ChatGPT？-PC指南
8：如何在安卓设备上使用ChatGPTAI聊天机器人
9：如何在Android和iPhone上使用ChatGPT
10：如何在安卓手机上下载并使用ChatGPT-财富Quint

排名靠前的网站所用的描述：
1：以下是如何通过任何网络浏览器在安卓和iOS设备上访问ChatGPT的方法。
2：目前，ChatGPT无法在GooglePlay商店或Apple商店下载。根据OpenAI的说法，ChatGPT是一个免费的服务，但只在研究预览阶段。
3：新的MicrosoftBing搜索引擎和Edge浏览器包括一种比OpenAI的ChatGPT更快更高级的AI，并且您可以立即进行预览。
4：ChatGPT基于GPT-3API构建，仅可以通过OpenAI网站使用。尽管许多用户正在尝试将AI与其他平台集成，但在此方面尚未取得任何显著的成功。
5：尝试ChatSonicAI-具有类似于ChatGPT应用程序的高级对话AI功能，可帮助您在旅途中随时创建内容。100％合法，无欺诈
6：ChatGPT在GooglePlayStore上不可用。但是，在本文的帮助下，我们将向您展示如何在安卓设备上下载ChatGPT。
7：ChatGPT是什么？我们告诉您一切，以及为自己的需求开始使用服务的关键步骤。
8：安卓用户可以通过使用像Chrome这样的移动网络浏览器来实现此目标。以下是如何设置OpenAI帐户以及在安卓设备上使用ChatGPTAI聊天机器人的方法
9：想知道您如何在安卓手机上使用ChatGPT？想知道您如何在iphone上使用ChatGPT？还想了解一些AI的知识吗？这里是您易懂的指南
10：在您的安卓设备上打开Chrome或其他浏览器。转到chat.openai.com.点按URL字段旁边的三个点。选择“添加到主屏幕”。选择名称并两次选择“添加”。


排名靠前的网站：
1：https://indianexpress.com/article/technology/how-to-use-chatgpt-on-android-iphones-8425553/
2：https://www.livemint.com/technology/tech-news/heres-a-mini-guide-on-how-to-use-chatgpt-on-an-android-device-11670411083395.html
3：https://www.digitaltrends.com/computing/how-to-use-microsoft-chatgpt-bing-edge/
4：https://www.businesstoday.in/technology/news/story/how-to-use-chatgpt-ai-chatbot-on-android-and-iphone-smartphones-355339-2022-12-06
5：https://writesonic.com/chatgpt-app-chatsonic
6：https://www.thepanthertech.com/how-to-download-chatgpt-on-android/
7：https://www.pcguide.com/apps/what-is-chat-gpt/
8：https://timesofindia.indiatimes.com/gadgets-news/how-to-use-chatgpt-ai-chatbot-on-android/articleshow/96030164.cms
9：https://www.carlcare.com/ng/tips-detail/how-can-use-chat-gpt-on-my-phone/
10：https://wealthquint.com/download-and-use-chatgpt-android-54740/
}

根据以上要求，现在请您为以下标题""[PROMPT]""制作一个内容简介。"
1783669406140993536,制作一个具有战略洞察力的专业内容简报,\SEO\Research,请提供关键词列表[maximumof6],"请忽略之前的说明。请以一名资深SEO内容策划师的身份，管理一支精通[TARGETLANGUAGE]的大型撰稿团队。您需要编写与该领域顶尖网站竞争并能在[TARGETLANGUAGE]谷歌搜索引擎中排名靠前的内容。使用我提供的关键词和文本，创建一个综合性的内容简要，最少750个单词。请包括关键词及相关关键词、目的、受众、目标，以及最佳的内容结构以在谷歌搜索引擎中排名靠前，同时使用相关关键词提供建议的子标题，并提供访问量适中的竞争对手网站及其URL列表。还要包括一个最常见的类似问题列表，即与这些关键字相关的人们在Google搜索引擎上提出的问题。所有输出必须用[TARGETLANGUAGE]。这篇内容简报的关键词是：

[PROMPT]"
1786119173836107776,详细的关键词分析（SEO）,\SEO\Research,请将以下句子翻译成[TARGETLANGUAGE]：只翻译[]之间的英文单词，不要翻译音标。,"我想请您扮演一名擅长市场调查、能够流利的使用[TARGETLANGUAGE]语言的专家。假装您拥有有关关键词的最准确、最详细的信息，并能够用流利的[TARGETLANGUAGE]语言制定完整的SEO内容计划。我会给您一个目标关键词""[PROMPT]""，然后请您根据该关键词创建一个Markdown表格，其中包含有关主题""[PROMPT]""的SEO内容策略计划的关键词列表。将关键词按照前十个超级类别进行聚类，并在第一列的关键词聚类中命名超级类别。对于每个关键词聚类或特定的长尾关键词，再添加另一列包含7个子类别。在另一列中列出关键词的人类搜索意图，并将主题按照商业搜索意图、交易搜索意图或信息搜索意图中的一个进行聚类。然后在另一列中，写出一个简单但引人点击的标题，用于发布与该关键词相关的文章。然后在另一列中写入一个有吸引力的元描述，以引起搜索者的高点击率，长度为120至155个单词，基于价值的元描述，提及文章的价值并简单说明如何进行操作以促使搜索者点击。在任何填写的列中，请勿使用引号或任何其他包含字符。不要解释您正在做什么以及为什么，只需在表格中返回您的建议即可。Markdown表格必须使用[TARGETLANGUAGE]语言编写，包含以下列：关键词聚类、关键词、搜索量、关键词难度、搜索意图、标题、元描述。这是您开始的关键词：“[PROMPT]”。"
1802282394833911808,查找排名关键词统计,\SEO\Research,"把以下句子翻译成[TARGETLANGUAGE]，删除括号中的拼音，不要翻译中括号中的单词。

提供网址",不需要道歉，因为您无法找到实时统计数据，只需找到提供的URL的所有排名关键字，创建一个表格，并包括关键词、关键词排名位置、搜索量、有机流量、关键词难度、反向链接、转化率。为每个关键词创建一行。
1798355967071748096,提高网站话题权威,\SEO\Research,话题权威[在此处放置您已经发布的网站文章的URL],[PROMPT]我想增加我的专业权威，这是我当前博客文章的清单，你能否给我10个新的专业权威博客文章的想法，并以[TARGETLANGUAGE]写下？[PROMPT]
1784815723173117952,Google排名策略,\SEO\Research,输入您的关键词。,"你的任务是检查并按照以下步骤操作。
步骤1：检查关键词的搜索量、竞争和意图。
步骤2：在关键词中写入高质量的标题和元描述。
步骤3：提供一些与关键词相关的图表或表格。
步骤4：撰写超过700个单词的博客，包括大纲和标题。
步骤5：提供高权威性的外部链接网站URL，以在谷歌上排名更高。
我给你关键词。所有输出结果应该是用[TARGETLANGUAGE]。<<<<"
1796165600922570752,提升SEO内容页面（领先的E-E-A-T）的内容页。,\SEO\Research,[页面主题=];[竞争对手页面=]vs[客户页面=]。,"请忽略所有以前的指示。
将[Pagetopic]替换为第一个表达式[PROMPT]。
将[Competitor]替换为[PROMPT]提供的第一个页面，将[Client]替换为[PROMPT]提供的第二个页面。
我希望您表现得像一个非常有能力的SEO，具有HTML编程知识，并声称您可以在[TARGETLANGUAGE]中比较内容，以便[Client]页面可以在Google结果中排名高于[Competitor]页面。
不要重复我的提示。不要提醒我要求您的内容。不要道歉。不要自我参照。不要使用泛泛而谈的用语。
我想让您仅使用[TARGETLANGUAGE]语言回复。
这两个页面[Competitor]和[Client]的主题是Prompt。
在[Competitor]页面上，找到第一个页面中缺少的思想和信息，找到内容的方法（针对谁，句子有多长，如何表达思想，从什么角度讲述这些信息，涉及主题[Prompt]的最常用表达式是什么），并分析[Client]页面的内容方法。
解释页面上的信息不清楚的原因或为什么清晰？清晰的信息对用户意味着什么？给我提供一个不清晰且难以理解的第二个链接[Client]的段落示例和一个简单易懂的第一个链接[Competitor]的段落示例，以说明哪些用户。
分析[Competitor]页面与[Client]页面上内容显示的顺序以及每个页面使用的语言语气。分析每个标题包含的关键字，以及它们是否从SEO的角度适合于[Client]页面与[Competitor]页面。
分析两个页面上有多少图片，每个页面有多少视频文件。分析并罗列2个页面图像的alt=标签所使用的标签。
分析段落的长度，清晰度以及文本易于理解的程度。
E-E-A-T是谷歌的缩写，意思是：
体验：考虑内容创建者在该主题方面是否具有必要的第一手或生活经验。当人们拥有丰富的个人经验时，许多类型的页面都是可信赖的，并且能够实现其目的。例如，您会相信由个人使用过该产品的产品评价还是由未使用该产品的“评价”呢？
专业知识：考虑内容创建者在该主题方面具有必要的知识或技能的程度。不同的主题需要不同级别和类型的专业知识才能信任。例如，您会信任熟练电工提供的家庭电气重新布线建议还是来自不了解电气布线的古董房屋爱好者呢？
权威性：考虑内容创建者或网站是否被认为是该主题的可靠来源。虽然大多数主题没有一个官方的、权威的网站或内容创作者，但是当有时，该网站或内容创作者通常是最可靠和值得信赖的来源之一。例如，社交媒体上的本地企业简介页面可能是关于现在出售的硬货的权威和可信赖来源。获取护照的官方政府页面是护照续订唯一的官方和权威来源。
信任是E-E-A-T家族中最重要的成员，因为不可信任的页面具有低的E-E-A-T，无论它们看起来多么有经验、专家或权威。例如，金融诈骗是不可信的，即使内容的创建者是经验丰富、专家级的骗子，也被认为是运行骗局的权威！
分析这个E-E-A-T算法以及如何改进[Client]页面的内容来符合E-E-A-T要求。"
1785534035624464384,深度关键词研究与内容优化,\SEO\Research,输入页面的URL以查看SEO机会。,"开始于URL：
您想为哪个URL研究关键词？

确定主题：
这个网站讨论或销售的主题或产品/服务是什么？

确定目标受众：
这个网站的目标受众是谁？（例如年龄，性别，地点，兴趣等）

列出当前关键词：
网站目前用于描述主题或产品/服务的关键词是什么？

搜索相关关键词：
使用关键词研究工具，搜索目标受众常用的与主题或产品/服务相关的关键词。

分析搜索意图：
对于每个关键词，确定其背后的搜索意图（例如信息，导航，交易，商业）。

确定机会：
有没有高搜索量，低竞争度且符合网站目标和目标受众的关键词？

重点考虑关键词：
根据搜索量，竞争程度和与目标受众和网站目标相关性，优先考虑关键词并创建一个目标为前几的关键词列表。

创建关键词组：
根据其搜索意图和与网站相关性，将前几关键词组织成组。

最终确定关键词列表：
根据关键词组和分析，确定一份要优化网站的关键词列表。"
1792358699931787264,Instagram标签生成器，带关键字,\SEO\Research,写下Instagram主题名称。,创建20个Instagram热门标签，以一些搜索量为目标LSI关键字来针对以下主题：[PROMPT]。不要使用标签，将关键字用空格分隔。仅大写专有名词。[TARGETLANGUAGE]。
1793110635547193344,即时人类文章SEO友好,\SEO\Research,抱歉，我不知道您指的是哪个句子。,目标语言关键词提示
1798921330041806848,投资,\SEO\Research,投资,把我給你的文章用五個詞或最多2000字總結。所有翻譯輸出都應該是[TARGETLANGUAGE]。要總結的文本是這樣的：<<<
1791735341691170816,KDP亚马逊竞争者元数据,\SEO\Research,竞争对手的网址,"你的任务是找到提供的亚马逊KDP网址的元数据。
[TARGETLANGUAGE]网址是这个。"
1794684977372454912,着陆页大纲如专业人士,\SEO\Research,输入您的[关键词，行业，语言],像文案撰写人一样，解释在这个[TARGETLANGUAGE]中为一个为[PROMPT]设计的web登陆页面应该使用哪些内容区块。
1783597149255360512,网页内容审核与页面质量排名,\SEO\Research,[粘贴内容&包括标题，模式，元字段等],我希望你扮演谷歌优质评估员的角色，评估内容的准确性和相关性。我希望你假装自己是E-A-T、页面SEO和技术SEO的专家。作为搜索质量评分计划的一部分，我希望你评估我给你的内容的页面质量（PQ）。请非常严格地评估。添加一个PQ评级，并详细列出影响给定PQ评级的因素以及原因。当所评估的因素相关或相似时，请将这些因素聚集在一个清晰简洁的小标题下。提供列出行动示例的分点格式，说明如何改进搜索和用户体验的内容。非常详细地将可行的示例分类在一个清晰简洁的标题下。根据谷歌的指导方针，评估该内容是否具有与之最匹配的模式标记类型。不要Echo我的提示。不要提醒我你为我做了什么。不要道歉。不要自我引用。所有输出都用[TARGETLANGUAGE]。请使用以下内容：[PROMPT]
1797274092194488320,仅需一键，即可完成页面SEO。,\SEO\Research,[关键词]，[标题]或[内容],"我希望你能扮演一名SEO专家。我会给你一个关键词、标题或内容。你需要正确理解并提供给我：10个关键词变化（改变关键词位置或关键词模式）、10个相关关键词（改变关键词位置或关键词模式）、最新排名的5个SEO优化后的标题变化，以及5个独特的、SEO优化后的搜索引擎结果元描述。元描述应该是150到160个字符，不要超过。此外，请给我3个特色图片的想法。不要重复我的提示。不要自我引用。准确简洁地传达你的意思。不要解释什么，只用[TARGETLANGUAGE]回答。所以我的第一个请求是""[PROMPT]"""
